time,formattedTime,formattedAxisTime,value,hasData,formattedValue
1724198400,"Aug 21, 2024",Aug 21,[80],[True],['80']
1724284800,"Aug 22, 2024",Aug 22,[61],[True],['61']
1724371200,"Aug 23, 2024",Aug 23,[78],[True],['78']
1724457600,"Aug 24, 2024",Aug 24,[76],[True],['76']
1724544000,"Aug 25, 2024",Aug 25,[61],[True],['61']
1724630400,"Aug 26, 2024",Aug 26,[64],[True],['64']
1724716800,"Aug 27, 2024",Aug 27,[65],[True],['65']
1724803200,"Aug 28, 2024",Aug 28,[79],[True],['79']
1724889600,"Aug 29, 2024",Aug 29,[67],[True],['67']
1724976000,"Aug 30, 2024",Aug 30,[80],[True],['80']
1725062400,"Aug 31, 2024",Aug 31,[71],[True],['71']
1725148800,"Sep 1, 2024",Sep 1,[88],[True],['88']
1725235200,"Sep 2, 2024",Sep 2,[70],[True],['70']
1725321600,"Sep 3, 2024",Sep 3,[70],[True],['70']
1725408000,"Sep 4, 2024",Sep 4,[54],[True],['54']
1725494400,"Sep 5, 2024",Sep 5,[54],[True],['54']
1725580800,"Sep 6, 2024",Sep 6,[65],[True],['65']
1725667200,"Sep 7, 2024",Sep 7,[59],[True],['59']
1725753600,"Sep 8, 2024",Sep 8,[62],[True],['62']
1725840000,"Sep 9, 2024",Sep 9,[52],[True],['52']
1725926400,"Sep 10, 2024",Sep 10,[59],[True],['59']
1726012800,"Sep 11, 2024",Sep 11,[52],[True],['52']
1726099200,"Sep 12, 2024",Sep 12,[52],[True],['52']
1726185600,"Sep 13, 2024",Sep 13,[45],[True],['45']
1726272000,"Sep 14, 2024",Sep 14,[77],[True],['77']
1726358400,"Sep 15, 2024",Sep 15,[59],[True],['59']
1726444800,"Sep 16, 2024",Sep 16,[74],[True],['74']
1726531200,"Sep 17, 2024",Sep 17,[57],[True],['57']
1726617600,"Sep 18, 2024",Sep 18,[63],[True],['63']
1726704000,"Sep 19, 2024",Sep 19,[65],[True],['65']
1726790400,"Sep 20, 2024",Sep 20,[36],[True],['36']
1726876800,"Sep 21, 2024",Sep 21,[61],[True],['61']
1726963200,"Sep 22, 2024",Sep 22,[51],[True],['51']
1727049600,"Sep 23, 2024",Sep 23,[56],[True],['56']
1727136000,"Sep 24, 2024",Sep 24,[42],[True],['42']
1727222400,"Sep 25, 2024",Sep 25,[48],[True],['48']
1727308800,"Sep 26, 2024",Sep 26,[39],[True],['39']
1727395200,"Sep 27, 2024",Sep 27,[76],[True],['76']
1727481600,"Sep 28, 2024",Sep 28,[51],[True],['51']
1727568000,"Sep 29, 2024",Sep 29,[61],[True],['61']
1727654400,"Sep 30, 2024",Sep 30,[47],[True],['47']
1727740800,"Oct 1, 2024",Oct 1,[71],[True],['71']
1727827200,"Oct 2, 2024",Oct 2,[61],[True],['61']
1727913600,"Oct 3, 2024",Oct 3,[45],[True],['45']
1728000000,"Oct 4, 2024",Oct 4,[66],[True],['66']
1728086400,"Oct 5, 2024",Oct 5,[78],[True],['78']
1728172800,"Oct 6, 2024",Oct 6,[88],[True],['88']
1728259200,"Oct 7, 2024",Oct 7,[50],[True],['50']
1728345600,"Oct 8, 2024",Oct 8,[82],[True],['82']
1728432000,"Oct 9, 2024",Oct 9,[71],[True],['71']
1728518400,"Oct 10, 2024",Oct 10,[62],[True],['62']
1728604800,"Oct 11, 2024",Oct 11,[47],[True],['47']
1728691200,"Oct 12, 2024",Oct 12,[60],[True],['60']
1728777600,"Oct 13, 2024",Oct 13,[81],[True],['81']
1728864000,"Oct 14, 2024",Oct 14,[62],[True],['62']
1728950400,"Oct 15, 2024",Oct 15,[59],[True],['59']
1729036800,"Oct 16, 2024",Oct 16,[62],[True],['62']
1729123200,"Oct 17, 2024",Oct 17,[74],[True],['74']
1729209600,"Oct 18, 2024",Oct 18,[51],[True],['51']
1729296000,"Oct 19, 2024",Oct 19,[63],[True],['63']
1729382400,"Oct 20, 2024",Oct 20,[100],[True],['100']
1729468800,"Oct 21, 2024",Oct 21,[67],[True],['67']
1729555200,"Oct 22, 2024",Oct 22,[53],[True],['53']
1729641600,"Oct 23, 2024",Oct 23,[57],[True],['57']
1729728000,"Oct 24, 2024",Oct 24,[59],[True],['59']
1729814400,"Oct 25, 2024",Oct 25,[63],[True],['63']
1729900800,"Oct 26, 2024",Oct 26,[59],[True],['59']
1729987200,"Oct 27, 2024",Oct 27,[63],[True],['63']
1730073600,"Oct 28, 2024",Oct 28,[54],[True],['54']
1730160000,"Oct 29, 2024",Oct 29,[65],[True],['65']
1730246400,"Oct 30, 2024",Oct 30,[47],[True],['47']
1730332800,"Oct 31, 2024",Oct 31,[43],[True],['43']
1730419200,"Nov 1, 2024",Nov 1,[59],[True],['59']
1730505600,"Nov 2, 2024",Nov 2,[57],[True],['57']
1730592000,"Nov 3, 2024",Nov 3,[60],[True],['60']
1730678400,"Nov 4, 2024",Nov 4,[62],[True],['62']
1730764800,"Nov 5, 2024",Nov 5,[55],[True],['55']
1730851200,"Nov 6, 2024",Nov 6,[58],[True],['58']
1730937600,"Nov 7, 2024",Nov 7,[55],[True],['55']
1731024000,"Nov 8, 2024",Nov 8,[54],[True],['54']
1731110400,"Nov 9, 2024",Nov 9,[55],[True],['55']
1731196800,"Nov 10, 2024",Nov 10,[71],[True],['71']
1731283200,"Nov 11, 2024",Nov 11,[62],[True],['62']
1731369600,"Nov 12, 2024",Nov 12,[52],[True],['52']
1731456000,"Nov 13, 2024",Nov 13,[52],[True],['52']
1731542400,"Nov 14, 2024",Nov 14,[49],[True],['49']
1731628800,"Nov 15, 2024",Nov 15,[41],[True],['41']
1731715200,"Nov 16, 2024",Nov 16,[49],[True],['49']
1731801600,"Nov 17, 2024",Nov 17,[64],[True],['64']
1731888000,"Nov 18, 2024",Nov 18,[48],[True],['48']
1731974400,"Nov 19, 2024",Nov 19,[42],[True],['42']
1732060800,"Nov 20, 2024",Nov 20,[39],[True],['39']
1732147200,"Nov 21, 2024",Nov 21,[43],[True],['43'],True
